"Daily Weather Observations for Sydney, New South Wales for September 2015"
"Prepared at 13:01 UTC on Wednesday 21 October 2015   IDCJDW2124.201509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-09-1,9.0,19.7,0,3.2,10.8,W,31,09:42,12.7,50,1,W,17,1015.8,17.0,39,1,ESE,13,1013.3
,2015-09-2,8.0,18.8,0,4.0,10.4,WNW,31,23:46,11.9,61,5,W,11,1018.0,18.6,46,1,ENE,19,1012.0
,2015-09-3,11.2,20.8,2.8,5.6,8.0,SW,52,16:16,14.4,69,3,WNW,20,1006.0,20.6,28,6,WSW,24,1005.6
,2015-09-4,12.5,19.5,20.4,4.0,5.7,S,48,11:22,13.7,92,7,SSW,19,1021.5,18.3,54,2,S,20,1020.5
,2015-09-5,11.5,21.7,0,2.8,9.3,ESE,37,15:27,15.2,68,1,WNW,17,1022.3,18.7,53,5,SE,24,1019.6
,2015-09-6,12.7,17.5,0.4,5.4,1.0,ENE,24,16:12,14.6,84,7,NNE,11,1024.9,16.0,68,7,ENE,6,1021.9
,2015-09-7,11.1,24.9,0.2,0.6,9.3,W,54,18:14,17.4,62,2,W,9,1018.3,22.7,32,4,W,15,1013.3
,2015-09-8,10.0,20.0,0,6.8,11.0,W,52,14:06,13.3,42,1,WSW,30,1018.8,19.7,32,2,W,24,1015.7
,2015-09-9,9.8,20.2,0,5.0,10.9,,,,15.4,48,1,W,20,1023.1,18.9,39,1,SSE,17,1022.0
,2015-09-10,11.3,19.6,0,4.8,6.5,SSW,37,09:34,15.5,59,1,WNW,13,1030.9,18.9,41,7,SSE,15,1029.8
,2015-09-11,14.0,21.3,0,4.0,9.1,NNE,39,17:22,17.6,56,1,WNW,11,1032.1,20.5,44,0,NE,24,1027.6
,2015-09-12,10.9,25.4,0,7.4,10.4,ENE,24,13:20,17.2,61,1,W,11,1028.5,21.3,51,5,E,19,1024.7
,2015-09-13,12.4,22.3,0,3.8,10.6,NNE,30,21:51,18.3,61,1,WNW,11,1028.5,21.4,60,1,E,20,1025.0
,2015-09-14,15.3,23.6,0,5.0,10.7,NE,43,16:41,20.7,58,1,NNE,17,1025.9,21.4,59,1,NE,24,1020.5
,2015-09-15,15.8,29.8,0,6.4,11.0,,,,23.5,33,1,NNE,9,1015.4,29.2,25,3,NNW,35,1009.0
,2015-09-16,12.4,21.1,0,10.2,10.2,ESE,37,14:37,17.2,42,2,W,19,1017.7,19.3,60,3,ESE,26,1015.0
,2015-09-17,12.2,19.9,0,4.2,8.2,S,43,11:24,18.0,53,3,WNW,9,1018.4,17.7,57,7,SE,28,1018.3
,2015-09-18,13.6,20.0,2.2,6.4,7.7,S,52,10:05,15.8,65,5,S,20,1026.2,18.9,44,2,S,26,1025.5
,2015-09-19,12.5,19.5,10.8,5.4,7.3,E,33,10:41,14.7,88,7,W,17,1026.5,18.1,54,6,ESE,24,1023.9
,2015-09-20,12.5,18.6,0.4,4.0,3.4,ENE,37,09:36,16.6,62,5,W,11,1024.5,17.4,72,7,E,13,1021.7
,2015-09-21,12.4,22.5,0.2,1.6,10.4,SSW,35,20:21,16.3,74,1,W,15,1019.9,21.3,60,2,NE,15,1015.2
,2015-09-22,14.6,19.5,0.2,6.2,9.2,SSW,59,11:35,18.7,36,3,SW,24,1016.8,17.8,47,2,S,37,1017.5
,2015-09-23,10.0,16.2,0.2,8.8,6.5,S,69,11:25,13.3,55,3,SSW,31,1025.5,11.7,74,7,SSW,35,1025.4
,2015-09-24,8.3,16.3,3.2,4.0,6.1,S,65,09:28,13.0,63,7,SSW,22,1025.6,13.6,62,7,SSW,28,1024.6
,2015-09-25,10.1,16.4,31.8,2.8,4.3,S,54,13:37,13.4,91,7,S,13,1029.3,15.9,63,7,SSE,26,1027.8
,2015-09-26,11.1,20.1,3.4,4.4,7.7,S,43,17:52,14.4,86,6,W,22,1028.5,18.4,48,3,SSE,24,1025.4
,2015-09-27,12.3,19.2,3.6,3.8,6.2,SW,46,11:36,15.3,70,7,SW,20,1023.7,18.3,51,7,S,20,1021.1
,2015-09-28,10.9,20.8,0.2,4.2,11.0,W,28,00:27,17.3,56,1,W,15,1021.1,19.1,49,1,ESE,17,1017.8
,2015-09-29,11.9,23.4,0,5.8,3.4,NW,50,18:35,19.1,58,0,N,15,1019.5,21.7,55,1,NE,17,1015.8
,2015-09-30,16.7,21.4,0,5.6,6.4,SSE,33,07:44,21.0,57,7,SSE,17,1022.1,18.7,62,7,ESE,20,1021.4
