"Daily Weather Observations for Sydney, New South Wales for October 2015"
"Prepared at 13:02 UTC on Monday  2 November 2015   IDCJDW2124.201510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-10-1,16.8,22.9,0,5.6,9.6,ENE,33,13:01,19.9,68,4,W,6,1026.4,21.7,65,1,E,24,1022.8
,2015-10-2,16.5,23.0,0,4.8,10.5,SSE,33,04:13,21.3,57,1,NNW,4,1033.4,21.1,57,1,ENE,24,1031.8
,2015-10-3,14.2,27.5,0,7.2,11.1,E,22,12:26,21.5,62,0,W,13,1030.6,27.3,47,1,E,11,1024.7
,2015-10-4,19.8,33.8,0,8.0,8.2,WSW,46,13:41,26.4,28,7,W,4,1023.4,32.6,13,7,W,28,1021.8
,2015-10-5,16.1,37.0,0,11.0,11.4,S,20,23:31,21.1,42,1,WNW,11,1024.0,35.6,16,7,E,11,1021.1
,2015-10-6,20.3,32.3,0,8.6,11.4,NNE,43,16:22,23.8,37,1,WNW,15,1023.2,30.6,26,1,ENE,17,1019.7
,2015-10-7,19.7,21.5,0,13.2,1.3,SSW,67,04:20,20.3,61,5,SSE,39,1029.6,19.0,56,7,SE,26,1033.6
,2015-10-8,17.0,21.1,0,6.6,2.2,ENE,35,12:53,18.5,53,7,ESE,13,1038.8,19.9,57,7,E,20,1036.0
,2015-10-9,16.8,22.7,0,5.4,8.7,ENE,43,15:35,20.1,51,7,N,15,1034.4,22.0,51,5,NE,24,1029.7
,2015-10-10,15.7,24.3,0,6.8,9.5,E,24,13:04,21.2,62,1,SE,2,1028.9,22.3,60,4,E,17,1025.8
,2015-10-11,15.0,24.3,0,5.6,6.4,W,41,21:03,18.7,77,6,WNW,9,1022.7,21.4,65,7,ENE,11,1018.6
,2015-10-12,16.5,29.5,3.6,5.0,9.6,SSE,43,20:24,22.7,50,1,WSW,11,1016.7,23.4,55,6,NE,19,1012.4
,2015-10-13,17.5,20.4,1.6,7.8,0.8,SSW,37,06:58,18.3,82,4,S,20,1022.3,19.8,77,8,ESE,20,1022.3
,2015-10-14,16.9,23.3,3.4,1.4,8.3,NE,37,14:50,20.1,75,7,W,6,1026.8,22.7,60,1,NE,20,1025.2
,2015-10-15,16.3,24.0,0,7.0,12.0,NE,44,16:32,21.6,65,1,NNE,13,1026.2,23.1,63,0,ENE,30,1022.0
,2015-10-16,17.3,27.5,0,6.8,11.9,NNE,43,17:43,23.3,60,0,ESE,6,1021.7,27.3,52,1,E,20,1018.7
,2015-10-17,19.1,26.0,0,9.8,9.7,SSE,31,06:28,21.5,66,1,SSE,17,1023.1,23.0,64,4,ESE,15,1021.4
,2015-10-18,18.8,23.2,1.4,7.2,3.8,SSE,35,07:41,19.5,69,8,SE,17,1029.2,22.1,56,7,E,15,1027.9
,2015-10-19,19.4,24.6,0.2,4.2,8.2,NE,39,14:54,21.8,81,7,N,11,1026.6,24.4,54,4,ENE,24,1022.4
,2015-10-20,18.7,26.8,0.4,6.8,7.7,W,35,16:51,23.7,60,2,SE,6,1020.6,26.0,55,2,ENE,15,1016.3
,2015-10-21,19.7,27.9,1.0,7.6,3.4,NNE,31,20:38,24.5,58,4,WNW,2,1013.8,26.3,43,7,W,9,1011.5
,2015-10-22,18.6,20.5,8.4,5.0,0.7,S,61,14:54,19.6,89,7,S,11,1011.4,20.1,74,7,SSW,31,1010.3
,2015-10-23,14.5,21.4,14.8,2.8,3.4,SSW,41,00:22,16.6,70,7,SSW,19,1022.1,19.4,55,7,SSW,17,1021.6
,2015-10-24,12.9,22.3,0.2,4.6,12.0,ENE,39,16:38,17.8,62,5,WNW,13,1024.4,20.7,54,1,ENE,26,1020.9
,2015-10-25,15.2,24.9,0,7.4,10.2,NE,43,15:39,21.1,62,2,E,7,1022.1,22.3,59,3,NE,19,1017.8
,2015-10-26,17.5,29.4,0,7.0,5.2,WSW,69,13:16,24.6,54,3,ESE,9,1014.4,22.2,53,7,WSW,13,1015.1
,2015-10-27,15.5,19.6,7.6,7.8,2.0,S,54,01:15,16.5,65,8,S,19,1025.8,19.3,47,7,SSE,30,1025.8
,2015-10-28,13.4,21.2,0.4,3.8,8.2,SSE,31,00:03,16.4,70,7,W,9,1025.3,20.6,45,5,E,20,1022.5
,2015-10-29,15.7,23.0,0,5.4,11.4,E,31,13:20,18.2,55,5,WNW,7,1023.6,21.9,40,1,E,22,1022.1
,2015-10-30,14.1,23.1,0,8.0,9.3,ENE,39,16:13,19.0,59,1,W,7,1023.8,21.8,48,7,NE,24,1020.8
,2015-10-31,17.1,24.2,0,8.0,5.7,NE,48,13:58,22.2,59,7,NE,19,1021.8,22.5,61,8,NE,28,1018.6
